x_origem,y_origem,x_destino,y_destino,comprimento,id_tubo,tipo_origem,tipo_destino,material,dn,pressao
473782.94,7425207.21,473758.89,7425192.73,28.078,4546943,conexao,conexao,AC,10.0,7.0
473758.89,7425192.73,473739.71,7425175.99,25.458,4546943,conexao,conexao,AC,10.0,7.0
473739.71,7425175.99,473685.75,7425117.39,79.66,4546943,conexao,conexao,AC,10.0,7.0
473685.75,7425117.39,473588.02,7424950.07,193.771,4546943,conexao,conexao,AC,10.0,7.0
473588.02,7424950.07,473523.29,7424847.59,121.211,4546943,conexao,conexao,AC,10.0,7.0
473523.29,7424847.59,473411.75,7424662.1,216.443,4546943,conexao,conexao,AC,10.0,7.0
473411.75,7424662.1,473375.88,7424615.81,58.561,4546943,conexao,conexao,AC,10.0,7.0
473375.88,7424615.81,473343.43,7424578.34,49.568,4546943,conexao,conexao,AC,10.0,7.0
473343.43,7424578.34,473283.49,7424516.8,85.907,4546943,conexao,conexao,AC,10.0,7.0
473283.49,7424516.8,473209.18,7424454.0,97.292,4546943,conexao,conexao,AC,10.0,7.0
473209.18,7424454.0,473145.03,7424402.74,82.115,4546943,conexao,distribuicao,AC,10.0,7.0
474978.38,7425977.08,475484.34,7425797.98,536.724,3602774,distribuicao,conexao,PEAD,200.0,7.0
475484.34,7425797.98,475572.7,7425765.06,94.293,3602774,conexao,distribuicao,PEAD,200.0,7.0
474978.38,7425977.08,474977.73,7425975.2,1.989,3599156,distribuicao,distribuicao,PEAD,63.0,7.0
474977.91,7425977.24,474978.38,7425977.08,0.496,3599144,distribuicao,distribuicao,PEAD,200.0,7.0
474977.33,7425974.03,474977.73,7425975.2,1.236,3599162,distribuicao,distribuicao,PEAD,63.0,7.0
475181.93,7424952.84,474813.44,7425045.88,380.055,4546481,distribuicao,conexao,AC,10.0,7.0
474813.44,7425045.88,474700.13,7425078.83,118.004,4546481,conexao,distribuicao,AC,10.0,7.0
475195.19,7425000.51,475233.28,7424990.7,39.333,4547419,distribuicao,conexao,PEAD,125.0,7.0
475233.28,7424990.7,475107.46,7425284.08,319.222,4547419,conexao,conexao,PEAD,125.0,7.0
475107.46,7425284.08,475123.74,7425298.35,21.649,4547419,conexao,conexao,PEAD,125.0,7.0
475123.74,7425298.35,475226.44,7425415.4,155.718,4547419,conexao,distribuicao,PEAD,125.0,7.0
475226.44,7425415.4,475242.7,7425432.75,23.778,4547183,distribuicao,distribuicao,PEAD,125.0,7.0
475226.44,7425415.4,475230.19,7425412.09,5.002,4547436,distribuicao,distribuicao,PEAD,125.0,7.0
475230.19,7425412.09,475230.56,7425411.75,0.502,4547442,distribuicao,distribuicao,PEAD,90.0,7.0
475240.35,7425403.31,475240.81,7425403.5,0.498,4547475,distribuicao,distribuicao,AC,3.0,7.0
475240.35,7425403.31,475230.56,7425411.75,12.926,4547460,distribuicao,distribuicao,PEAD,90.0,7.0
475182.33,7424954.26,475194.22,7425000.76,47.996,4547289,distribuicao,conexao,PEAD,125.0,7.0
475194.22,7425000.76,475195.19,7425000.51,1.002,4547289,conexao,distribuicao,PEAD,125.0,7.0
475182.06,7424953.32,475182.33,7424954.26,0.978,4547217,distribuicao,distribuicao,AC,4.0,7.0
475181.93,7424952.84,475182.06,7424953.32,0.497,4547207,distribuicao,distribuicao,AC,4.0,7.0
473144.39,7424403.51,473142.21,7424406.13,3.408,4547025,distribuicao,distribuicao,AC,4.0,7.0
473145.03,7424402.74,473144.39,7424403.51,1.001,4547015,distribuicao,distribuicao,AC,4.0,7.0
473099.41,7424456.26,473098.81,7424457.02,0.968,4547065,distribuicao,distribuicao,AC,4.0,7.0
473103.01,7424454.67,473101.3,7424453.93,1.863,4547055,distribuicao,conexao,PEAD,125.0,7.0
473101.3,7424453.93,473099.41,7424456.26,3.0,4547055,conexao,distribuicao,PEAD,125.0,7.0
473142.21,7424406.13,473103.01,7424454.67,62.392,4547035,distribuicao,distribuicao,PEAD,125.0,7.0
473145.03,7424402.74,473106.08,7424371.64,49.843,4546917,distribuicao,distribuicao,AC,10.0,7.0
677762.6,7185774.81,677765.07,7185770.8,4.71,3229676,distribuicao,conexao,AC,8.0,17.0
